step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
47,9198800,4760,9570,32.844448,,0,14,11,132,65175,1403,3348,9133625,18,212,40,1,23638,1,100,1,1857218,1,3090093,1,428862,1,156173,1,3564337,1,13162,1,407981,1,7939,4,507957,4,67746,4,848462,4,1690649,8,2497519,132,38244,36,3489,1,26084,1,2626,1,0,0,0,0,0,0,0,0,0,0,0,0,15212,1,234,1,9570,1,4760,1,15446,1,9570,1,0,1
48,9521300,5001,9570,32.711945,,0,14,12,144,36463,992,3229,9484837,18,212,70,1,30224,1,160,1,2173554,1,3126232,1,428672,1,139472,1,3573911,1,12541,1,338260,1,7358,4,514593,4,65972,4,880832,4,1732021,8,2580563,144,29061,24,3599,1,27798,1,2486,1,0,0,0,0,0,0,0,0,0,0,0,0,16273,1,176,1,9570,1,5001,1,16449,1,9570,1,0,1
49,9301100,5139,9570,32.576717,,0,14,12,144,31772,992,3238,9269328,18,212,80,1,23257,1,50,1,1855985,1,3118152,1,428612,1,136004,1,3694356,1,12831,1,357678,1,7258,4,541709,4,66593,4,901342,4,1783457,8,2656138,144,25422,24,3950,1,28781,1,2596,1,0,0,0,0,0,0,0,0,0,0,0,0,16761,1,162,1,9570,1,5139,1,16923,1,9570,1,0,1
50,9262000,4996,9570,32.438763,,0,14,12,144,34224,912,3338,9227776,18,212,20,1,23959,1,40,1,1852426,1,3072721,1,428542,1,131402,1,3705824,1,12842,1,332867,1,16330,4,550331,4,67686,4,909171,4,1793993,8,2686583,144,13242,24,3649,1,28330,1,2556,1,0,0,0,0,0,0,0,0,0,0,0,0,16396,1,76,1,9570,1,4996,1,16472,1,9570,1,0,1
51,9054300,4871,9570,32.298084,,0,13,11,132,32831,962,3148,9021469,18,200,20,1,23919,1,40,1,1876696,1,3095807,1,428572,1,141237,1,3442618,1,12561,1,309560,1,6807,4,498072,4,65721,4,848442,4,1681918,8,2493890,132,33322,24,3428,1,25122,1,2586,1,0,0,0,0,0,0,0,0,0,0,0,0,15840,1,210,1,9570,1,4871,1,16050,1,9570,1,0,1
52,9337000,5093,9570,32.154682,,0,14,11,132,34561,932,3278,9302439,18,212,30,1,23518,1,70,1,1845740,1,3076480,1,428592,1,145738,1,3769451,1,12821,1,330611,1,7348,4,536938,4,81510,4,915216,4,1863543,8,2727864,132,47617,36,3639,1,27187,1,2526,1,0,0,0,0,0,0,0,0,0,0,0,0,16703,1,282,1,9570,1,5093,1,16985,1,9570,1,0,1
53,9129900,4972,9570,32.008553,,0,13,11,132,33326,892,3139,9096574,18,200,20,1,23458,1,30,1,1834422,1,3081994,1,428612,1,135021,1,3580517,1,12501,1,325058,1,7318,4,533730,4,66603,4,881403,4,1733895,8,2578637,132,33522,24,3448,1,25693,1,2476,1,0,0,0,0,0,0,0,0,0,0,0,0,16437,1,208,1,9570,1,4972,1,16645,1,9570,1,0,1
54,9011900,4792,9570,31.8597,,0,13,11,132,38639,892,2887,8973261,18,200,70,1,23157,1,90,1,1838722,1,3123545,1,428502,1,131493,1,3415181,1,12501,1,320637,1,7188,4,492408,4,65832,4,836282,4,1660395,8,2476908,132,16881,24,3348,1,25743,1,2456,1,0,0,0,0,0,0,0,0,0,0,0,0,15830,1,102,1,9570,1,4792,1,15932,1,9570,1,0,1
55,8946100,4796,9570,31.70812,,0,13,10,120,38901,822,2937,8907199,18,200,60,1,23387,1,30,1,1843594,1,3061393,1,428622,1,128545,1,3408695,1,12872,1,300598,1,7328,4,488328,4,66453,4,839119,4,1673697,8,2463686,120,46193,36,3408,1,26385,1,2556,1,0,0,0,0,0,0,0,0,0,0,0,0,15396,1,306,1,9570,1,4796,1,15702,1,9570,1,0,1
56,9205000,4911,9570,31.553818,,0,13,10,120,39767,922,3178,9165233,18,200,40,1,23889,1,50,1,1864556,1,3163203,1,428592,1,129017,1,3543376,1,12511,1,321148,1,7198,4,511395,4,66603,4,871449,4,1732452,8,2549767,120,50955,36,3428,1,26305,1,2476,1,0,0,0,0,0,0,0,0,0,0,0,0,15945,1,319,1,9570,1,4911,1,16264,1,9570,1,0,1
