arm,step,manifolds_live,points
full_step/1,370,5055,17151
full_step/1,371,5056,17157
full_step/1,372,5056,17162
full_step/1,373,5055,17165
full_step/1,374,5056,17162
full_step/1,375,5056,17162
full_step/1,376,5056,17161
full_step/1,377,5056,17158
full_step/1,378,5055,17156
full_step/1,379,5056,17155
full_step/1,380,5056,17154
full_step/1,381,5057,17155
full_step/1,382,5057,17154
full_step/1,383,5056,17152
full_step/1,384,5057,17153
full_step/1,385,5057,17153
full_step/1,386,5057,17154
full_step/1,387,5057,17149
full_step/1,388,5059,17159
full_step/1,389,5058,17158
full_step/1,390,5058,17160
full_step/1,391,5057,17158
full_step/1,392,5057,17157
full_step/1,393,5058,17162
full_step/1,394,5058,17160
full_step/1,395,5059,17161
full_step/1,396,5060,17161
full_step/1,397,5061,17162
full_step/1,398,5060,17157
full_step/1,399,5058,17156
full_step/1,400,5058,17157
full_step/1,401,5058,17156
full_step/1,402,5058,17156
full_step/1,403,5058,17157
full_step/1,404,5058,17163
full_step/1,405,5058,17162
full_step/1,406,5058,17166
full_step/1,407,5058,17166
full_step/1,408,5058,17166
full_step/1,409,5057,17169
full_step/1,410,5058,17173
full_step/1,411,5058,17169
full_step/1,412,5057,17169
full_step/1,413,5057,17169
full_step/1,414,5057,17164
full_step/1,415,5058,17164
full_step/1,416,5058,17163
full_step/1,417,5058,17168
full_step/1,418,5058,17167
full_step/1,419,5058,17165
full_step/1,420,5058,17166
full_step/1,421,5058,17167
full_step/1,422,5058,17167
full_step/1,423,5058,17167
full_step/1,424,5057,17164
full_step/1,425,5057,17167
full_step/1,426,5057,17168
full_step/1,427,5057,17167
full_step/1,428,5058,17168
full_step/1,429,5058,17168
full_step/1,430,5058,17168
full_step/1,431,5058,17168
full_step/1,432,5058,17169
full_step/1,433,5058,17165
full_step/1,434,5058,17166
full_step/1,435,5058,17168
full_step/1,436,5058,17167
full_step/1,437,5058,17161
full_step/1,438,5058,17161
full_step/1,439,5058,17160
full_step/1,440,5058,17165
full_step/1,441,5058,17165
full_step/1,442,5058,17164
full_step/1,443,5058,17166
full_step/1,444,5058,17168
full_step/1,445,5059,17168
full_step/1,446,5058,17165
full_step/1,447,5058,17166
full_step/1,448,5059,17165
full_step/1,449,5058,17164
full_step/1,450,5059,17165
full_step/1,451,5058,17162
full_step/1,452,5059,17166
full_step/1,453,5059,17164
full_step/1,454,5058,17165
full_step/1,455,5059,17168
full_step/1,456,5059,17166
full_step/1,457,5059,17166
full_step/1,458,5057,17166
full_step/1,459,5059,17168
full_step/1,460,5058,17169
full_step/1,461,5059,17172
full_step/1,462,5058,17174
full_step/1,463,5058,17173
full_step/1,464,5059,17176
full_step/1,465,5059,17177
full_step/1,466,5057,17175
full_step/1,467,5059,17178
full_step/1,468,5059,17177
full_step/1,469,5059,17176
full_step/1,470,5059,17175
full_step/1,471,5059,17175
full_step/1,472,5058,17173
full_step/1,473,5057,17172
full_step/1,474,5057,17172
full_step/1,475,5057,17173
full_step/1,476,5057,17171
full_step/1,477,5058,17170
full_step/1,478,5057,17170
full_step/1,479,5057,17168
full_step/1,480,5058,17171
full_step/1,481,5057,17167
full_step/1,482,5058,17167
full_step/1,483,5057,17166
full_step/1,484,5057,17164
full_step/1,485,5058,17168
full_step/1,486,5057,17166
full_step/1,487,5058,17170
full_step/1,488,5057,17167
full_step/1,489,5057,17164
full_step/1,490,5057,17164
full_step/1,491,5058,17168
full_step/1,492,5057,17171
full_step/1,493,5057,17168
full_step/1,494,5058,17167
full_step/1,495,5057,17166
full_step/1,496,5057,17165
full_step/1,497,5057,17164
full_step/1,498,5056,17163
full_step/1,499,5057,17164
full_step/1,500,5056,17161
full_step/1,501,5057,17162
full_step/1,502,5057,17162
full_step/1,503,5058,17166
full_step/1,504,5056,17169
full_step/1,505,5056,17165
full_step/1,506,5057,17166
full_step/1,507,5056,17163
full_step/1,508,5056,17163
full_step/1,509,5057,17162
full_step/1,510,5058,17167
full_step/1,511,5057,17167
full_step/1,512,5057,17166
full_step/1,513,5058,17165
full_step/1,514,5056,17164
full_step/1,515,5057,17167
full_step/1,516,5056,17164
full_step/1,517,5057,17164
full_step/1,518,5056,17161
full_step/1,519,5057,17166
full_step/1,520,5056,17164
full_step/1,521,5057,17163
full_step/1,522,5056,17169
full_step/1,523,5057,17169
full_step/1,524,5056,17169
full_step/1,525,5056,17171
full_step/1,526,5057,17170
full_step/1,527,5056,17170
full_step/1,528,5056,17169
full_step/1,529,5057,17174
full_step/1,530,5055,17168
full_step/1,531,5055,17165
full_step/1,532,5056,17171
full_step/1,533,5055,17169
full_step/1,534,5055,17167
full_step/1,535,5056,17169
full_step/1,536,5055,17171
full_step/1,537,5055,17170
full_step/1,538,5055,17170
full_step/1,539,5055,17170
full_step/1,540,5056,17172
full_step/1,541,5055,17170
full_step/1,542,5056,17168
full_step/1,543,5057,17169
full_step/1,544,5055,17173
full_step/1,545,5055,17171
full_step/1,546,5055,17169
full_step/1,547,5055,17170
full_step/1,548,5056,17170
full_step/1,549,5056,17169
full_step/1,550,5056,17166
full_step/1,551,5057,17167
full_step/1,552,5057,17178
full_step/1,553,5057,17174
full_step/1,554,5057,17175
full_step/1,555,5057,17171
full_step/1,556,5057,17174
full_step/1,557,5056,17174
full_step/1,558,5058,17173
full_step/1,559,5054,17167
full_step/1,560,5054,17168
full_step/1,561,5053,17167
full_step/1,562,5053,17168
full_step/1,563,5054,17166
full_step/1,564,5054,17171
full_step/1,565,5054,17171
full_step/1,566,5054,17170
full_step/1,567,5054,17171
full_step/1,568,5053,17167
full_step/1,569,5054,17167
full_step/1,570,5054,17166
full_step/1,571,5053,17169
full_step/1,572,5054,17172
full_step/1,573,5053,17174
full_step/1,574,5054,17175
full_step/1,575,5053,17176
full_step/1,576,5053,17176
full_step/1,577,5053,17176
full_step/1,578,5054,17177
full_step/1,579,5053,17173
full_step/1,580,5053,17175
full_step/1,581,5054,17179
full_step/1,582,5053,17173
full_step/1,583,5054,17176
full_step/1,584,5054,17177
full_step/1,585,5054,17175
full_step/1,586,5054,17177
full_step/1,587,5054,17176
full_step/1,588,5055,17180
full_step/1,589,5054,17176
full_step/1,590,5055,17177
full_step/1,591,5054,17175
full_step/1,592,5055,17176
full_step/1,593,5054,17176
full_step/1,594,5055,17173
full_step/1,595,5054,17174
full_step/1,596,5055,17176
full_step/1,597,5054,17172
full_step/1,598,5055,17172
full_step/1,599,5054,17177
full_step/1,600,5054,17174
full_step/1,601,5053,17171
full_step/1,602,5054,17175
full_step/1,603,5055,17173
full_step/1,604,5056,17175
full_step/1,605,5054,17174
full_step/1,606,5055,17178
full_step/1,607,5056,17178
full_step/1,608,5056,17176
full_step/1,609,5055,17174
full_step/1,610,5054,17174
full_step/1,611,5055,17174
full_step/1,612,5055,17175
full_step/1,613,5054,17174
full_step/1,614,5055,17175
full_step/1,615,5055,17175
full_step/1,616,5054,17174
full_step/1,617,5055,17173
full_step/1,618,5054,17169
full_step/1,619,5055,17171
full_step/1,620,5054,17172
full_step/1,621,5055,17172
full_step/1,622,5055,17170
full_step/1,623,5054,17174
full_step/1,624,5053,17170
full_step/1,625,5054,17175
full_step/1,626,5055,17175
full_step/1,627,5055,17178
full_step/1,628,5055,17178
full_step/1,629,5055,17178
full_step/1,630,5055,17178
full_step/1,631,5054,17180
full_step/1,632,5056,17182
full_step/1,633,5056,17182
full_step/1,634,5055,17179
full_step/1,635,5056,17181
full_step/1,636,5056,17178
full_step/1,637,5056,17180
full_step/1,638,5055,17177
full_step/1,639,5056,17180
full_step/1,640,5054,17174
full_step/1,641,5055,17174
full_step/1,642,5055,17172
full_step/1,643,5053,17171
full_step/1,644,5055,17173
full_step/1,645,5053,17171
full_step/1,646,5054,17173
full_step/1,647,5053,17173
full_step/1,648,5055,17178
full_step/1,649,5054,17179
full_step/1,650,5054,17177
full_step/1,651,5053,17179
full_step/1,652,5054,17180
full_step/1,653,5055,17181
full_step/1,654,5055,17182
full_step/1,655,5055,17182
full_step/1,656,5055,17187
full_step/1,657,5055,17188
full_step/1,658,5055,17188
full_step/1,659,5055,17187
full_step/1,660,5055,17188
full_step/1,661,5055,17187
full_step/1,662,5054,17186
full_step/1,663,5054,17185
full_step/1,664,5055,17186
full_step/1,665,5055,17186
full_step/1,666,5055,17186
full_step/1,667,5055,17187
full_step/1,668,5054,17186
full_step/1,669,5054,17186
full_step/1,670,5054,17184
full_step/1,671,5054,17186
full_step/1,672,5055,17187
full_step/1,673,5055,17186
full_step/1,674,5054,17186
full_step/1,675,5055,17186
full_step/1,676,5055,17194
full_step/1,677,5054,17190
full_step/1,678,5053,17190
full_step/1,679,5052,17188
full_step/1,680,5053,17185
full_step/1,681,5053,17188
full_step/1,682,5052,17185
full_step/1,683,5053,17185
full_step/1,684,5055,17188
full_step/1,685,5054,17187
