arm,step,manifolds_live,points
full_step/1,447,4839,13546
full_step/1,448,4835,13547
full_step/1,449,4839,13533
full_step/1,450,4837,13544
full_step/1,451,4844,13544
full_step/1,452,4847,13538
full_step/1,453,4839,13541
full_step/1,454,4841,13556
full_step/1,455,4847,13542
full_step/1,456,4852,13560
full_step/1,457,4849,13555
full_step/1,458,4852,13536
full_step/1,459,4853,13529
full_step/1,460,4863,13515
full_step/1,461,4852,13531
full_step/1,462,4851,13556
full_step/1,463,4850,13539
full_step/1,464,4850,13506
full_step/1,465,4852,13548
full_step/1,466,4853,13593
full_step/1,467,4847,13606
full_step/1,468,4855,13624
full_step/1,469,4858,13686
full_step/1,470,4854,13634
full_step/1,471,4840,13558
full_step/1,472,4847,13610
full_step/1,473,4846,13606
full_step/1,474,4849,13589
full_step/1,475,4856,13553
full_step/1,476,4860,13563
full_step/1,477,4861,13571
full_step/1,478,4866,13561
full_step/1,479,4859,13590
full_step/1,480,4859,13612
full_step/1,481,4865,13635
full_step/1,482,4864,13570
full_step/1,483,4858,13595
full_step/1,484,4856,13575
full_step/1,485,4859,13547
full_step/1,486,4864,13592
full_step/1,487,4865,13631
full_step/1,488,4862,13589
full_step/1,489,4865,13603
full_step/1,490,4858,13622
full_step/1,491,4853,13620
full_step/1,492,4855,13640
full_step/1,493,4855,13686
full_step/1,494,4853,13696
full_step/1,495,4852,13678
full_step/1,496,4851,13683
full_step/1,497,4859,13710
full_step/1,498,4864,13658
full_step/1,499,4863,13633
full_step/1,500,4859,13602
full_step/1,501,4856,13559
full_step/1,502,4862,13571
full_step/1,503,4854,13573
full_step/1,504,4862,13587
full_step/1,505,4853,13602
full_step/1,506,4858,13598
full_step/1,507,4853,13562
full_step/1,508,4854,13586
full_step/1,509,4855,13658
full_step/1,510,4862,13652
full_step/1,511,4867,13629
full_step/1,512,4864,13616
full_step/1,513,4861,13573
full_step/1,514,4862,13583
full_step/1,515,4856,13613
full_step/1,516,4869,13611
full_step/1,517,4875,13612
full_step/1,518,4863,13606
full_step/1,519,4865,13621
full_step/1,520,4868,13627
full_step/1,521,4874,13680
full_step/1,522,4861,13632
full_step/1,523,4857,13672
full_step/1,524,4857,13713
full_step/1,525,4868,13706
full_step/1,526,4870,13686
full_step/1,527,4864,13689
full_step/1,528,4859,13654
full_step/1,529,4872,13646
full_step/1,530,4867,13687
