step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
22,8642300,4565,9570,35.2714,,0,13,10,120,43218,1142,3046,8599082,18,200,90,1,24959,1,170,1,1952709,1,2758822,1,425010,1,104006,1,3319920,1,13396,1,378177,1,7304,4,304472,4,65529,4,855751,4,1666112,8,2479179,120,39638,36,3206,1,35711,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,0,0,0,0,0,0
23,8454300,4496,9570,35.207024,,0,13,10,120,41947,1303,2906,8412353,18,200,40,1,24528,1,40,1,1920475,1,2666389,1,424930,1,109506,1,3253189,1,13256,1,386273,1,7856,4,303420,4,66191,4,828227,4,1631544,8,2421013,120,35851,36,3106,1,22835,1,2435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,0,0,0,0,0,0
24,8256300,4419,9570,35.13992,,0,12,10,120,41848,1122,2666,8214452,18,188,20,1,23717,1,60,1,1915415,1,2614306,1,424890,1,102873,1,3120005,1,13166,1,323940,1,7395,4,289151,4,65399,4,804901,4,1601625,8,2389561,120,14298,24,3116,1,20871,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1,0,0,0,0,0,0
25,8388700,4390,9570,35.07009,,0,12,9,108,51064,1322,2706,8337636,18,188,10,1,23757,1,100,1,1956747,1,2629737,1,424970,1,114446,1,3174012,1,13857,1,374109,1,8076,4,283310,4,65209,4,797346,4,1586124,8,2331817,108,48947,36,3146,1,51762,1,3607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1,0,0,0,0,0,0
26,8235400,4353,9570,34.997536,,0,12,9,108,45456,1172,2837,8189944,18,188,441,1,24048,1,180,1,1920806,1,2569077,1,424880,1,100348,1,3136448,1,13717,1,311736,1,12094,4,297869,4,66101,4,808298,4,1597136,8,2359792,108,42805,36,3557,1,35941,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1,0,0,0,0,0,0
27,8252500,4336,9570,34.92226,,0,12,9,108,43498,1052,2837,8209002,18,188,80,1,24609,1,140,1,1925234,1,2608174,1,425020,1,100539,1,3111519,1,13687,1,351214,1,7465,4,280835,4,66010,4,802816,4,1569341,8,2333380,108,35941,36,3056,1,27264,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1,0,0,0,0,0,0
28,8860000,4982,9570,34.844257,,0,14,11,132,41985,1142,3297,8818015,18,212,40,1,23677,1,120,1,1924643,1,2728221,1,425511,1,125538,1,3576948,1,13316,1,411403,1,7485,4,324100,4,65169,4,923154,4,1813794,8,2672170,132,61481,36,3407,1,24829,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,0,1,0,0,0,0,0,0
29,8884800,4783,9570,34.763527,,0,14,11,132,41906,1012,3047,8842894,18,212,20,1,23867,1,170,1,1913321,1,2894229,1,424960,1,128263,1,3444587,1,13477,1,415100,1,7445,4,310153,4,66041,4,879608,4,1734938,8,2585298,132,26202,36,3417,1,24168,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,0,1,0,0,0,0,0,0
30,8737600,4670,9570,34.680073,,0,13,11,132,43139,1142,2937,8694461,18,200,90,1,25641,1,90,1,1927008,1,2787178,1,425050,1,110218,1,3405700,1,13487,1,388818,1,7986,4,305704,4,66051,4,884127,4,1715500,8,2574226,132,22464,24,3337,1,30540,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,0,1,0,0,0,0,0,0
31,9242100,4639,9570,34.593895,,0,13,11,132,57661,1613,3417,9184439,18,200,60,1,24719,1,130,1,1920415,1,2801306,1,425000,1,142842,1,3856621,1,13346,1,619895,1,9068,4,403137,4,72874,4,930920,4,1782943,8,2688954,132,21492,24,3467,1,30109,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1,0,0,0,0,0,0
32,9005600,4573,9570,34.504993,,0,13,11,132,40143,1052,2957,8965457,18,200,50,1,35430,1,170,1,2371456,1,2767359,1,425040,1,106601,1,3246004,1,13346,1,347777,1,7405,4,296115,4,65369,4,835962,4,1663056,8,2474018,132,22044,24,3266,1,23496,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,0,1,0,0,0,0,0,0
33,8459100,4491,9570,34.413364,,0,13,11,132,43430,1162,3226,8415670,18,200,20,1,23707,1,90,1,1925254,1,2713121,1,424990,1,104256,1,3210755,1,13477,1,332577,1,7174,4,291296,4,66361,4,839278,4,1638398,8,2456474,132,17976,24,3206,1,28797,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,0,1,0,0,0,0,0,0
