step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
20,9118900,4829,9570,35.391983,,0,14,12,144,43605,1142,3408,9075295,18,212,30,1,25129,1,90,1,1915933,1,2480474,1,453744,1,117509,1,4069370,1,13015,1,357877,1,7715,4,571814,4,64886,4,1018785,4,2020548,8,3005786,144,30139,24,3236,1,20821,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,0,0,0,0,0,0
21,9366900,4715,9570,35.333054,,0,13,11,132,46037,1403,4228,9320863,18,200,130,1,24347,1,60,1,1934530,1,2745250,1,453594,1,107720,1,4041596,1,13637,1,410450,1,8196,4,533760,4,65768,4,1009197,4,1967344,8,2951051,132,21261,24,3367,1,39477,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,0,0,0,0,0,0
22,9147900,4565,9570,35.2714,,0,13,10,120,47176,1172,3107,9100724,18,200,50,1,25389,1,120,1,1922616,1,2683459,1,453674,1,106007,1,3896433,1,12975,1,416381,1,7845,4,517599,4,66880,4,959500,4,1896135,8,2809083,120,43445,36,3417,1,24929,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,0,0,0,0,0,0
23,9079700,4496,9570,35.207024,,0,13,10,120,43091,1202,3367,9036609,18,200,10,1,24508,1,110,1,1925913,1,2700793,1,453854,1,100736,1,3817459,1,13226,1,383978,1,8006,4,511036,4,65387,4,948037,4,1869463,8,2773734,120,40399,36,3056,1,24698,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,0,0,0,0,0,0
24,8857800,4419,9570,35.13992,,0,12,10,120,45538,1052,2976,8812262,18,188,30,1,24307,1,60,1,1918058,1,2591901,1,453614,1,97781,1,3712514,1,13997,1,316807,1,7956,4,513521,4,65057,4,923800,4,1845977,8,2751030,120,15771,24,3968,1,31702,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1,0,0,0,0,0,0
25,9359500,4390,9570,35.07009,,0,12,9,108,55390,1633,3728,9304110,18,188,60,1,24979,1,200,1,2450355,1,2574036,1,453734,1,97390,1,3690031,1,13326,1,338961,1,7545,4,506196,4,65738,4,922908,4,1807703,8,2671666,108,55218,36,3337,1,33315,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1,0,0,0,0,0,0
26,9333300,4353,9570,34.997536,,0,12,9,108,50170,1242,3137,9283130,18,188,100,1,32002,1,100,1,2342936,1,2639864,1,453724,1,99855,1,3700671,1,13877,1,373548,1,7424,4,496538,4,64906,4,913881,4,1810879,8,2675774,108,45849,36,3056,1,26432,1,2765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1,0,0,0,0,0,0
27,9138600,4336,9570,34.92226,,0,12,9,108,60740,1373,3217,9077860,18,188,311,1,25490,1,130,1,1925733,1,2839223,1,453784,1,98843,1,3720620,1,13727,1,395320,1,8647,4,495506,4,65317,4,905945,4,1797994,8,2659733,108,40990,36,3387,1,44176,1,2956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1,0,0,0,0,0,0
28,10805200,4982,9570,34.844257,,0,14,11,132,66183,3607,3727,10739017,18,212,40,1,48324,1,200,1,2534268,1,2695012,1,453724,1,129492,1,4863858,1,14097,1,727147,1,12655,4,756735,4,72401,4,1099573,4,2143256,8,3166841,132,72261,36,4088,1,41030,1,3367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,0,1,0,0,0,0,0,0
29,10162700,4783,9570,34.763527,,0,14,11,132,54563,1974,3838,10108137,18,212,511,1,37734,1,681,1,2127295,1,3087056,1,454015,1,118371,1,4268378,1,14097,1,492480,1,11462,4,560863,4,66049,4,1006802,4,2068260,8,3040514,132,30710,36,3988,1,52472,1,4028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,0,1,0,0,0,0,0,0
