step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
20,8413100,4829,9570,35.391983,,0,14,12,144,42130,1182,3357,8370970,18,212,20,1,24940,1,50,1,1919845,1,2462649,1,426933,1,118887,1,3406224,1,11423,1,348977,1,7705,4,323075,4,65821,4,880709,4,1747200,8,2597367,144,27184,24,3788,1,25180,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,0,0,0,0,0,0
21,8796100,4715,9570,35.333054,,0,13,11,132,44860,1212,3248,8751240,18,200,10,1,25491,1,120,1,1927750,1,2725504,1,427103,1,108797,1,3525472,1,10992,1,388165,1,8908,4,376432,4,70541,4,908625,4,1741148,8,2627978,132,18547,24,3226,1,24729,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,0,0,0,0,0,0
22,8411400,4565,9570,35.2714,,0,13,10,120,40500,1092,2996,8370900,18,200,10,1,24990,1,50,1,1918231,1,2637478,1,426903,1,103397,1,3248909,1,10932,1,367384,1,7355,4,298847,4,65381,4,843645,4,1636599,8,2439522,120,37725,36,3277,1,22806,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,0,0,0,0,0,0
23,8396300,4496,9570,35.207024,,0,13,10,120,45600,1142,3077,8350700,18,200,10,1,25230,1,170,1,1926368,1,2639903,1,426883,1,102585,1,3218599,1,10952,1,374087,1,7575,4,293657,4,78557,4,815749,4,1606820,8,2384352,120,35140,36,3216,1,35100,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,0,0,0,0,0,0
24,8208400,4419,9570,35.13992,,0,12,10,120,43912,1062,2946,8164488,18,188,30,1,25200,1,60,1,1926067,1,2595304,1,426993,1,99238,1,3080693,1,10902,1,317975,1,7234,4,290280,4,65100,4,794898,4,1575397,8,2353080,120,14268,24,3146,1,23106,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1,0,0,0,0,0,0
25,8641400,4390,9570,35.07009,,0,12,9,108,57905,1543,3308,8583495,18,188,10,1,25180,1,150,1,1929795,1,2615464,1,426993,1,146523,1,3428508,1,10872,1,471752,1,9439,4,354057,4,73036,4,856411,4,1619014,8,2422047,108,50070,36,3226,1,37435,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1,0,0,0,0,0,0
26,8685700,4353,9570,34.997536,,0,12,9,108,40993,1152,2687,8644707,18,188,20,1,38497,1,140,1,2337078,1,2634512,1,427013,1,104078,1,3092407,1,10962,1,376392,1,7665,4,287093,4,65000,4,781992,4,1547020,8,2286195,108,40130,36,3156,1,20471,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1,0,0,0,0,0,0
27,8113900,4336,9570,34.92226,,0,12,9,108,45224,1122,3007,8068676,18,188,30,1,25000,1,70,1,1915205,1,2576166,1,427073,1,95501,1,3018960,1,10671,1,318416,1,7305,4,281462,4,64970,4,781551,4,1538202,8,2280735,108,36012,36,2996,1,20471,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1,0,0,0,0,0,0
28,8774900,4982,9570,34.844257,,0,14,11,132,41797,1082,3417,8733103,18,212,20,1,25200,1,40,1,1919464,1,2688059,1,426903,1,120421,1,3541804,1,11192,1,394839,1,7715,4,327685,4,66803,4,917392,4,1791949,8,2645634,132,60290,36,3547,1,28136,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,0,1,0,0,0,0,0,0
29,8990600,4783,9570,34.763527,,0,14,11,132,52672,1483,3377,8937928,18,212,0,1,24960,1,40,1,1924073,1,2814331,1,426993,1,116202,1,3619785,1,11543,1,580424,1,9820,4,339248,4,66232,4,864457,4,1712330,8,2548771,132,24639,36,4389,1,38687,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,0,1,0,0,0,0,0,0
