step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
20,9069000,4829,9570,35.391983,,0,14,12,144,52250,1012,3128,9016750,18,212,10,1,24908,1,40,1,1931292,1,2575390,1,453091,1,118608,1,3899304,1,14107,1,506323,1,17033,4,635562,4,66368,4,873389,4,1736027,8,2580428,144,25860,24,3326,1,56689,1,3577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,0,0,0,0,0,0
21,9139300,4715,9570,35.333054,,0,13,11,132,62204,1563,3267,9077096,18,200,341,1,35799,1,421,1,2021175,1,2768120,1,453051,1,109440,1,3674422,1,14328,1,434916,1,8206,4,553323,4,67941,4,863520,4,1686712,8,2528499,132,18465,24,4699,1,50397,1,3146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,0,0,0,0,0,0
22,9560300,4565,9570,35.2714,,0,13,10,120,70811,1943,3127,9489489,18,200,110,1,25689,1,110,1,1924128,1,2825581,1,453061,1,192400,1,4054252,1,14157,1,595545,1,10590,4,667753,4,75806,4,936049,4,1717201,8,2610707,120,39416,36,3867,1,42371,1,3126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,0,0,0,0,0,0
23,9483300,4496,9570,35.207024,,0,13,10,120,55740,1753,2877,9427560,18,200,40,1,45628,1,110,1,2491028,1,2760836,1,452921,1,103178,1,3557247,1,16572,1,491615,1,8306,4,512986,4,66127,4,812462,4,1593703,8,2368261,120,35027,36,3757,1,63201,1,3336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,0,0,0,0,0,0
24,9074500,4419,9570,35.13992,,0,12,10,120,62198,2084,3006,9012302,18,188,80,1,26591,1,571,1,2114113,1,2713656,1,452981,1,112456,1,3578227,1,13626,1,573933,1,11322,4,508337,4,65987,4,803094,4,1562683,8,2348383,120,14388,24,3066,1,44816,1,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1,0,0,0,0,0,0
25,8708700,4390,9570,35.07009,,0,12,9,108,44347,1132,2716,8664353,18,188,150,1,26090,1,110,1,1924118,1,2743984,1,453762,1,128487,1,3374315,1,13336,1,433553,1,8486,4,514138,4,65275,4,782995,4,1541653,8,2274501,108,47431,36,3016,1,21561,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1,0,0,0,0,0,0
26,8433100,4353,9570,34.997536,,0,12,9,108,62617,1102,2586,8370483,18,188,30,1,25419,1,20,1,1935660,1,2592803,1,452931,1,99822,1,3238935,1,24863,1,315987,1,7334,4,497797,4,64935,4,780811,4,1540952,8,2279761,108,39416,36,2936,1,24146,1,2936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1,0,0,0,0,0,0
27,9093400,4336,9570,34.92226,,0,12,9,108,62302,1342,3117,9031098,18,188,40,1,31130,1,160,1,2348033,1,2629183,1,452991,1,99702,1,3456674,1,13185,1,343079,1,7575,4,548184,4,65035,4,812412,4,1646014,8,2420552,108,34757,36,3246,1,27222,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1,0,0,0,0,0,0
28,9539500,4982,9570,34.844257,,0,14,11,132,49390,1182,3076,9490110,18,212,210,1,38203,1,200,1,2366078,1,2698246,1,453041,1,123087,1,3797890,1,13155,1,433914,1,7474,4,575646,4,65055,4,904709,4,1778358,8,2619424,132,60566,36,3296,1,25729,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,0,1,0,0,0,0,0,0
29,8906800,4783,9570,34.763527,,0,14,11,132,44396,962,2917,8862404,18,212,240,1,24467,1,110,1,1917325,1,2781195,1,452971,1,113458,1,3559802,1,12835,1,360653,1,7575,4,535710,4,65015,4,863119,4,1698525,8,2533879,132,24848,36,3196,1,22523,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,0,1,0,0,0,0,0,0
