Frame, Manifolds, Points, Active Bodies, Top Y
392, 8456, 31035, 1240, 28.7777653
393, 8456, 31035, 1240, 28.7777653
394, 8456, 31035, 1240, 28.7777653
395, 8456, 31035, 1240, 28.7777653
396, 8456, 31035, 1240, 28.7777653
397, 8456, 31035, 1240, 28.7777653
398, 8456, 31035, 1240, 28.7777653
399, 8456, 31035, 1240, 28.7777653
400, 8456, 31035, 1240, 28.7777653
401, 8456, 31035, 1240, 28.7777653
402, 8456, 31035, 1240, 28.7777653
403, 8456, 31035, 1240, 28.7777653
404, 8456, 31035, 1240, 28.7777653
405, 8456, 31035, 1240, 28.7777653
406, 8456, 31035, 1240, 28.7777653
407, 8456, 31035, 1240, 28.7777653
408, 8456, 31035, 1240, 28.7777653
409, 8456, 31035, 1240, 28.7777653
410, 8456, 31035, 1240, 28.7777653
411, 8456, 31035, 1240, 28.7777653
412, 8456, 31035, 1240, 28.7777653
413, 8456, 31035, 1240, 28.7777653
414, 8456, 31035, 1240, 28.7777653
415, 8456, 31035, 1240, 28.7777653
416, 8456, 31035, 1240, 28.7777653
417, 8456, 31035, 1240, 28.7777653
418, 8456, 31035, 1240, 28.7777653
419, 8456, 31035, 1240, 28.7777653
420, 8456, 31035, 1240, 28.7777653
421, 8456, 31035, 1240, 28.7777653
422, 8456, 31035, 1240, 28.7777653
423, 8456, 31035, 1240, 28.7777653
424, 8456, 31035, 1240, 28.7777653
425, 8456, 31035, 1240, 28.7777653
426, 8456, 31035, 1240, 28.7777653
427, 8456, 31035, 1240, 28.7777653
428, 8456, 31035, 1240, 28.7777653
429, 8456, 31035, 1240, 28.7777653
430, 8456, 31035, 1240, 28.7777653
431, 8456, 31035, 1240, 28.7777653
432, 8456, 31035, 1240, 28.7777653
433, 8456, 31035, 1240, 28.7777653
434, 8456, 31035, 1240, 28.7777653
435, 8456, 31035, 1240, 28.7777653
436, 8456, 31035, 1240, 28.7777653
437, 8456, 31035, 1240, 28.7777653
438, 8456, 31035, 1240, 28.7777653
439, 8456, 31035, 1240, 28.7777653
440, 8456, 31035, 1240, 28.7777653
441, 8456, 31035, 1240, 28.7777653
442, 8456, 31035, 1240, 28.7777653
443, 8456, 31035, 1240, 28.7777653
444, 8456, 31035, 1240, 28.7777653
445, 8456, 31035, 1240, 28.7777653
446, 8456, 31035, 1240, 28.7777653
447, 8456, 31035, 1240, 28.7777653
448, 8456, 31035, 1240, 28.7777653
449, 8456, 31035, 1240, 28.7777653
450, 8456, 31035, 1240, 28.7777653
451, 8456, 31035, 1240, 28.7777653
452, 8456, 31035, 1240, 28.7777653
453, 8456, 31035, 1240, 28.7777653
