Frame, Manifolds, Points, Active Bodies, Top Y
391, 8489, 31112, 1240, 28.7772541
392, 8489, 31112, 1240, 28.7772541
393, 8489, 31112, 1240, 28.7772541
394, 8489, 31112, 1240, 28.7772541
395, 8489, 31112, 1240, 28.7772541
396, 8489, 31112, 1240, 28.7772541
397, 8489, 31112, 1240, 28.7772541
398, 8489, 31112, 1240, 28.7772541
399, 8489, 31112, 1240, 28.7772541
400, 8489, 31112, 1240, 28.7772541
401, 8489, 31112, 1240, 28.7772541
402, 8489, 31112, 1240, 28.7772541
403, 8489, 31112, 1240, 28.7772541
404, 8489, 31112, 1240, 28.7772541
405, 8489, 31112, 1240, 28.7772541
406, 8489, 31112, 1240, 28.7772541
407, 8489, 31112, 1240, 28.7772541
408, 8489, 31112, 1240, 28.7772541
409, 8489, 31112, 1240, 28.7772541
410, 8489, 31112, 1240, 28.7772541
411, 8489, 31112, 1240, 28.7772541
412, 8489, 31112, 1240, 28.7772541
413, 8489, 31112, 1240, 28.7772541
414, 8489, 31112, 1240, 28.7772541
415, 8489, 31112, 1240, 28.7772541
416, 8489, 31112, 1240, 28.7772541
417, 8489, 31112, 1240, 28.7772541
418, 8489, 31112, 1240, 28.7772541
419, 8489, 31112, 1240, 28.7772541
420, 8489, 31112, 1240, 28.7772541
421, 8489, 31112, 1240, 28.7772541
422, 8489, 31112, 1240, 28.7772541
423, 8489, 31112, 1240, 28.7772541
424, 8489, 31112, 1240, 28.7772541
425, 8489, 31112, 1240, 28.7772541
426, 8489, 31112, 1240, 28.7772541
427, 8489, 31112, 1240, 28.7772541
428, 8489, 31112, 1240, 28.7772541
429, 8489, 31112, 1240, 28.7772541
430, 8489, 31112, 1240, 28.7772541
431, 8489, 31112, 1240, 28.7772541
432, 8489, 31112, 1240, 28.7772541
433, 8489, 31112, 1240, 28.7772541
434, 8489, 31112, 1240, 28.7772541
435, 8489, 31112, 1240, 28.7772541
436, 8489, 31112, 1240, 28.7772541
437, 8489, 31112, 1240, 28.7772541
438, 8489, 31112, 1240, 28.7772541
439, 8489, 31112, 1240, 28.7772541
440, 8489, 31112, 1240, 28.7772541
441, 8489, 31112, 1240, 28.7772541
442, 8489, 31112, 1240, 28.7772541
443, 8489, 31112, 1240, 28.7772541
444, 8489, 31112, 1240, 28.7772541
445, 8489, 31112, 1240, 28.7772541
446, 8489, 31112, 1240, 28.7772541
447, 8489, 31112, 1240, 28.7772541
448, 8489, 31112, 1240, 28.7772541
449, 8489, 31112, 1240, 28.7772541
450, 8489, 31112, 1240, 28.7772541
451, 8489, 31112, 1240, 28.7772541
452, 8489, 31112, 1240, 28.7772541
453, 8489, 31112, 1240, 28.7772541
454, 8489, 31112, 1240, 28.7772541
455, 8489, 31112, 1240, 28.7772541
456, 8489, 31112, 1240, 28.7772541
457, 8489, 31112, 1240, 28.7772541
458, 8489, 31112, 1240, 28.7772541
459, 8489, 31112, 1240, 28.7772541
460, 8489, 31112, 1240, 28.7772541
461, 8489, 31112, 1240, 28.7772541
462, 8489, 31112, 1240, 28.7772541
463, 8489, 31112, 1240, 28.7772541
464, 8489, 31112, 1240, 28.7772541
465, 8489, 31112, 1240, 28.7772541
466, 8489, 31112, 1240, 28.7772541
467, 8489, 31112, 1240, 28.7772541
468, 8489, 31112, 1240, 28.7772541
469, 8489, 31112, 1240, 28.7772541
470, 8489, 31112, 1240, 28.7772541
471, 8489, 31112, 1240, 28.7772541
472, 8489, 31112, 1240, 28.7772541
473, 8489, 31112, 1240, 28.7772541
474, 8489, 31112, 1240, 28.7772541
475, 8489, 31112, 1240, 28.7772541
476, 8489, 31112, 1240, 28.7772541
477, 8489, 31112, 1240, 28.7772541
478, 8489, 31112, 1240, 28.7772541
479, 8489, 31112, 1240, 28.7772541
480, 8489, 31112, 1240, 28.7772541
481, 8489, 31112, 1240, 28.7772541
482, 8489, 31112, 1240, 28.7772541
483, 8489, 31112, 1240, 28.7772541
484, 8489, 31112, 1240, 28.7772541
485, 8489, 31112, 1240, 28.7772541
486, 8489, 31112, 1240, 28.7772541
487, 8489, 31112, 1240, 28.7772541
488, 8489, 31112, 1240, 28.7772541
489, 8489, 31112, 1240, 28.7772541
490, 8489, 31112, 1240, 28.7772541
491, 8489, 31112, 1240, 28.7772541
492, 8489, 31112, 1240, 28.7772541
493, 8489, 31112, 1240, 28.7772541
494, 8489, 31112, 1240, 28.7772541
495, 8489, 31112, 1240, 28.7772541
496, 8489, 31112, 1240, 28.7772541
497, 8489, 31112, 1240, 28.7772541
498, 8489, 31112, 1240, 28.7772541
499, 8489, 31112, 1240, 28.7772541
