# UG-15 sensitivity map (a): source files of every frame, inlined frames included, over each pinned body (03 §6; route a1).
# subject	cand	pin	file
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	crates/boyko_threadpool/src/block.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/alloc/src/alloc.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/alloc/layout.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/cell.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/mem/alignment.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/mem/mod.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/ptr/mod.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/ptr/mut_ptr.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/core/src/result.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/std/src/alloc.rs
boyko_demo	P29-4	<boyko_threadpool::block::ScopeBlock>::grow	library/std/src/sys/alloc/windows.rs
clear	D-2	boyko_ecs::ecs::core::iters::query::query_type_registry::register_new	crates/boyko_ecs/src/ecs/core/iters/query/query_type_registry.rs
clear	D-2	boyko_ecs::ecs::core::iters::query::query_type_registry::register_new	library/core/src/sync/atomic.rs
clear	D-3	boyko_ecs::ecs::core::bundle::bundle_type_registry::register_new	crates/boyko_ecs/src/ecs/core/bundle/bundle_type_registry.rs
clear	D-3	boyko_ecs::ecs::core::bundle::bundle_type_registry::register_new	library/core/src/sync/atomic.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	crates/boyko_ecs/src/ecs/core/component/component_registry/mod.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	crates/boyko_ecs/src/ecs/core/resources/resource_registry.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/core/src/any.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/core/src/intrinsics/mod.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/core/src/option.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/core/src/ptr/non_null.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/core/src/slice/iter/macros.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/core/src/sync/atomic.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/std/src/sync/once.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/std/src/sync/once_lock.rs
clear	D-4	boyko_ecs::ecs::core::resources::resource_registry::register_new::<boyko_app::occlusion_force::OcclusionForce>	library/std/src/sys/sync/once/futex.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_diag/src/clock.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_diag/src/lane.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_diag/src/loss.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_diag/src/profiling_abi.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_diag/src/sample.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/component/hooks/scope.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/ecs_master/ecs_master.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/ecs_master/system_api.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/profiling/zones.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/schedule/bitset_intersects.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/schedule/executor_scratch.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/schedule/schedule.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/schedule/system_set.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/system/system_kind.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/core/system/system_meta.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/ecs/identifiers/primitives.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_ecs/src/lib.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_threadpool/src/block.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_threadpool/src/scope.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_threadpool/src/task/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_threadpool/src/thread_pool.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_threadpool/src/tls.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	crates/boyko_threadpool/src/worker.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/alloc/src/alloc.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/alloc/src/boxed.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/alloc/src/raw_vec/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/alloc/src/sync.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/alloc/src/vec/drain.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/alloc/src/vec/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/bool.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/cell.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/cmp.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/hint.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/internal_macros.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/intrinsics/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/iter/adapters/enumerate.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/iter/adapters/map.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/iter/adapters/zip.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/iter/range.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/iter/traits/accum.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/iter/traits/iterator.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/mem/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/num/int_macros.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/num/uint_macros.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/ops/function.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/option.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/pin.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/ptr/const_ptr.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/ptr/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/ptr/mut_ptr.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/ptr/non_null.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/slice/index.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/slice/iter.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/slice/iter/macros.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/slice/mod.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/core/src/sync/atomic.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/alloc.rs
clear	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	library/std/src/sys/alloc/windows.rs
